Data,Ano,Mes,Dia,Movimentacao,ValorBRL,Modalidade,Categoria,Subcategoria,Recorrente,Descrição,ValorUSD,CotacaoNaData
2023-01-01,2023,01,01,ComercialdeCombusti,14.50,Credito,Não sei,Não sei,0,,,
2023-01-02,2023,01,02,IofInternacional,1.70,Credito,Serviços,Taxa,1,Iof Digital Ocean,,
2023-01-02,2023,01,02,StarPlus,18.00,Credito,Serviços,Assinatura,1,Streaming,,
2023-01-02,2023,01,02,apple.Com/Bill,3.50,Credito,Serviços,Assinatura,1,iCloud armazenamento,,
2023-01-03,2023,01,03,DairyuIchibanRamen,49.00,Credito,Restaurante,Jantar,0,Rolê Enpassant,,
2023-01-03,2023,01,03,DisneyPlus,27.90,Credito,Serviços,Assinatura,1,Streaming,,
2023-01-05,2023,01,05,PontoChic,96.72,Credito,Restaurante,Jantar,0,Rolê Enpassant,,
2023-01-05,2023,01,05,Amazonprimebr,14.90,Credito,Serviços,Assinatura,1,Amazon prime entrega e streaming,,
2023-01-06,2023,01,06,Jojo,92.88,Credito,Restaurante,Date,0,Lamen com a Giu,,
2023-01-06,2023,01,06,PIX ENVIADO  Cp :60701190CIA DE GAS DE SAO PAULO COMGAS,14.77,Pix,Contas,Gás,1,,,
2023-01-07,2023,01,07,ZaraBrasilPaulista,129.00,Credito,Aparência,Vestuário,0,Perfume Navy Blue,,
2023-01-09,2023,01,09,Ebn*Sonyplaystatn,200.66,Credito,Serviços,Assinatura,2,PSN (anual),,
2023-01-09,2023,01,09,99*Pop08jan23h42min,26.97,Credito,Transporte,Carro,0,99 Pop,,
2023-01-11,2023,01,11,SuaAcademia,119.90,Credito,Saúde,Academia,1,Smartfit,,
2023-01-12,2023,01,12,DominioLanches,71.50,Credito,Bares,Lazer,0,,,
2023-01-13,2023,01,13,ContaVivo,104.64,Credito,Serviços,Assinatura,1,,,
2023-01-13,2023,01,13,Uber*Uber*Trip,19.91,Credito,Transporte,Carro,0,,,
2023-01-14,2023,01,14,CasaSantaGemmaSuper,97.40,Credito,Compras,Mercado,0,,,
2023-01-16,2023,01,16,VovoMaria,46.46,Credito,Bares,Lazer,0,,,
